nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk
COMBO HALU! 2PC BAKSO ACI INSTANT + 2PC SEBLAK - EMAK INDAH FOOD,Rp89.200,Pempek Emak Indah,Jakarta Barat,30+ terjual,4.8
seblak jengkol pedas / okesnack,Rp16.000,oke snack,Jakarta Selatan,100+ terjual,4.9
BUMBU BASO ACI SEBLAK 100gr,Rp12.000,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
Marenta Seblak Instan,Rp14.590,AMANA SNACK,Tangerang Selatan,100+ terjual,5.0
cuanki lidah aci seblak,Rp7.500,djavafood,Depok,18 terjual,5.0
seblak kerupuk kering bantat,Rp5.000,Olivia marwah Skincare,Kab. Bekasi,9 terjual,5.0
Bumbu Seblak - Cairo Food,Rp25.500,Cairo Food,Jakarta Pusat,29 terjual,5.0
KERUPUK PEDAS SEBLAK 250 GR,Rp17.000,TOKO KUE MEISYA 2,Jakarta Pusat,40+ terjual,4.9
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",Rp55.875,kylafood,Bandung,500+ terjual,4.9
BATAGOR CUANKI TAHU KERING SIOMAI SIOMAY SEBLAK 150GR TOPING BASO MIE,Rp8.200,Astar Food,Bandung,250+ terjual,4.9
kerupuk seblak putih 5kg,Rp93.000,Nabe Sembako,Tangerang,30+ terjual,5.0
kerupuk seblak kencur pedas,Rp15.000,shofia snack bekasi,Kab. Bekasi,100+ terjual,4.9
COMBO HALU! 5PC SEBLAK MIE HALU - EMAK INDAH FOOD,Rp99.000,Pempek Emak Indah,Jakarta Barat,6 terjual,5.0
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,BociKakang,Jakarta Selatan,500+ terjual,4.8
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,50+ terjual,5.0
PAKET 11 PCS SEBLAK COET SAMBAL IJO TATANGGA Food Rawit,Rp44.999,gudangsnacktgr19,Kab. Tangerang,,
seblak kencur / okesnack,Rp10.000,oke snack,Jakarta Selatan,750+ terjual,4.9
Seblak / Seblak Kering / Kerupuk Seblak Kering Pedas,Rp15.000,Bung Boe Snack,Kab. Sumedang,40+ terjual,5.0
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Anum Sari - 250 Gram,Rp15.000,ANUM SARI,Tangerang Selatan,6 terjual,5.0
KERUPUK SEBLAK DAUN JERUK PEDAS / KRUPUK SEBLAK KERING / SEBLAK PEDES,Rp25.000,BonBon Factory,Jakarta Utara,1 terjual,
Yasnack Kerupuk Seblak Rafael Pedas Cikruh Gurih 500 gr,Rp28.900,YasnackID,Bandung,9 terjual,5.0
"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah",Rp22.688,Nion.Nion_Official,Tangerang Selatan,20 terjual,4.5
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,Rp41.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
KERUPUK JABLAY BANTET SEBLAK KENCUR MINI KILOAN 500GRAM,Rp20.500,Ayra jaya snack,Jakarta Utara,2 terjual,5.0
TENS Mie Kremes Seblak / Snack Vegan / Cemilan Sehat 65Gr,Rp11.900,Frozen Mart Jakarta,Jakarta Utara,23 terjual,5.0
Bumbu Instan Cimol Seblak Cilok Atoom Atom Bulan Grosir,Rp990,yohangunawan94,Bandung,4rb+ terjual,5.0
Cuanki lidah 150 pcs khas garut toping baso aci & Seblak K'rasa BARAYA,Rp45.999,aghniya,Tangerang Selatan,40+ terjual,5.0
Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr,Rp34.500,Bintang Snack & Camilan,Semarang,9 terjual,5.0
Krupuk seblak pedass,Rp12.000,R~snack,Jakarta Timur,,
SEBLAK KERING 100gr DUA VARIAN RASA,Rp4.500,jajanangarut19,Jakarta Selatan,100+ terjual,4.7
Kerupuk Seblak Rempah Cikur,Rp15.000,Kerupuk Rempah,Bandung,,
Keripik seblak pedas daun jeruk,Rp7.500,Tetia.CO,Tangerang Selatan,2 terjual,
Kylafood Seblak Karuhun Play,Rp10.530,kylafood,Bandung,250+ terjual,4.9
cuanki/cuankie lidah 150 pcs khas Garut topping boci/baso Aci/seblak,Rp46.999,ArfaOnlineShop,Tangerang,18 terjual,5.0
Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,Rp7.500,Aliya28,Tangerang Selatan,100+ terjual,5.0
Kerupuk Seblak Mawar Kribo Pedas Daun Jeruk 1.8kg,Rp70.000,Cap 2K Snack,Kab. Bandung,20 terjual,4.6
Cancimen Seblak Ramen Mas Miun Snack Cemilan Cup Siap Saji,Rp16.830,Mo_toko,Tangerang Selatan,8 terjual,5.0
BUMBU KUAH CUANKI BASO ACO/BOCI SEBLAK ECERAN,Rp699,ArfaOnlineShop,Tangerang,750+ terjual,4.9
seblak instan masabi,Rp8.000,baso aci masabi,Jakarta Selatan,250+ terjual,4.8
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk,Rp20.000,Distributor-Jaya,Tangerang,100+ terjual,5.0
Seblak Putri 80 gr,Rp12.500,King Fresh Mart,Jakarta Barat,16 terjual,5.0
Muria Snack Seblak Stick Cabe Merah x 10pcs (Bisa Same Day Delivery),Rp55.000,Merbabu Food,Tangerang Selatan,5 terjual,5.0
SAGO MEE PAKET 5 CUP KOMPLIT (BISA PILIH VARIAN) SAGOMEE MIE INSTAN,Rp48.500,Noname Goods,Jakarta Barat,100+ terjual,5.0
"Seblak Instan, Praktis, Komplit Khas Sunda by Kang Idin",Rp26.000,Kaya Halal Market,Jakarta Selatan,28 terjual,4.9
SEBLAK MIE 10 PCS PAKET HEMAT MAKANAN INSTAN food pedas,Rp44.999,gudangsnacktgr19,Kab. Tangerang,1 terjual,
Pasar Keripik Cimol Seblak Pedas Kiloan,Rp55.000,Pasar Keripik Bandung,Bandung,19 terjual,5.0
Poco loco salsa dip guacamole 300 gr,Rp95.000,toko cahaya bintaro,Jakarta Selatan,24 terjual,5.0
CUANKI/CUANKIE SIOMAY SPECIAL KHAS GARUT ISI 50 PCS BASO ACI & SEBLAK,Rp17.999,ArfaOnlineShop,Tangerang,18 terjual,5.0
Seblak kerupuk mawar/pedo pedas aroma daun jeruk 1 kg khas bandung,Rp55.000,Seblak putra bandung,Kab. Bandung,3 terjual,5.0
cuanki/cuankie lidah isi 100 pcs baso Aci/boci/seblak,Rp32.999,ArfaOnlineShop,Tangerang,60+ terjual,4.9
Seblak beton gurih gurih enyoy 250 gram,Rp15.700,Seblak Guludug Bandung,Kab. Bandung,,
Cuanki lidah 100 pcs khas garut toping baso aci & Seblak (BRY),Rp31.999,aghniya,Tangerang Selatan,100+ terjual,4.9
atom bintang kembar kecil 50g- bumbu seblak - baso Aci - bakso cuanki,Rp4.000,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.9
kerupuk bawang orange - kerupuk seblak 250gr,Rp7.500,Tukangsayurmbakyu,Tangerang Selatan,100+ terjual,4.9
KERUPUK SEBLAK 1KG / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,Rp36.900,Dapur Sehat21,Kab. Bandung,40+ terjual,4.5
Kylafood Mix Pentol Kuah dan Seblak Original,Rp39.500,kylafood,Bandung,16 terjual,5.0
Bumbu Penyedap Baso Aci / Seblak,Rp14.500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100+ terjual,4.9
Cimol Spesial K.y.l Kylafood,Rp23.790,kylafood,Bandung,4rb+ terjual,4.9
Seblak Rafael Viral Pedas Asin Gurih,Rp6.500,SnackinKuy!!,Cimahi,,
Paket Pesta Kuliner k.y.l Kylafood,Rp60.375,kylafood,Bandung,4rb+ terjual,4.9
Bundle 5pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan Ready,Rp83.500,Rak Sebelah,Jakarta Pusat,,
Kylafood Batagor Kuah Play,Rp22.230,kylafood,Bandung,1rb+ terjual,5.0
Kylafood Paket 2 Seblak Original 3 Batagor Kuah,Rp96.375,kylafood,Bandung,250+ terjual,4.9
Krupuk kerupuk Seblak Pedas Gurih krupuk Jablay,Rp18.000,Akang Kripik,Jakarta Timur,30+ terjual,5.0
Seblak Bu Etu - Misdaseum / Original,Rp19.900,Bakso Bu Etu,Kab. Bandung,750+ terjual,4.9
siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,Rp25.000,CuankiCulametan,Kab. Garut,100+ terjual,4.9
cuanki/cuankie lidah isi 150 khas Garut baso Aci/boci/seblak,Rp47.999,ArfaOnlineShop,Tangerang,21 terjual,5.0
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,Rp12.500,Pasar Keripik Bandung,Bandung,40+ terjual,4.9
seblak instant komplit bumbu cikruh bandung aufaro snack,Rp6.800,AUFARO SNACK,Kab. Bandung Barat,250+ terjual,4.9
BUBUK CABAI/CABE BASO ACI/BOCI/SEBLAK/CUANKI ECERAN,Rp699,ArfaOnlineShop,Tangerang,250+ terjual,5.0
seblak kuah instan 300,Rp12.000,tokoferafrozen,Tangerang,50+ terjual,
kerupuk bawang pedas seblak plastik 250gr,Rp26.500,DRSukses,Jakarta Selatan,16 terjual,5.0
Seblak Kering Dapur Cabai Krupuk Mix | Sebring Cikruh Bumbu Kacang,Rp58.550,manisan pak andre,Jakarta Timur,9 terjual,5.0
KERUPUK KRIWIL PEDAS 1kg / KRUPUK SEMBRING SEBLAK KERITING,Rp67.848,AHR Jaya Snack,Jakarta Timur,13 terjual,4.3
Seblak Cobek Seblak Rafael Seblak Ala Rafael_1616 Seblak Sambel Kencur,Rp8.782,NomeL Shop,Surabaya,30+ terjual,5.0
cuankie/cuanki lidah isi 150 pcs khas Garut baso Aci /boci seblak,Rp46.999,ArfaOnlineShop,Tangerang,24 terjual,4.6
"pilus kencur 3 kg K'Rasa enak dan renyah baso aci, seblak, cemilan dll",Rp95.999,aghniya,Tangerang Selatan,50+ terjual,5.0
Kylafood Seblak Tulang Rawan,Rp24.500,kylafood,Bandung,8rb+ terjual,4.9
[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram,Rp13.790,duniacemilan,Bandung,100+ terjual,4.9
Kerupuk Putih Dua Jago 500gr - Krupuk Seblak Bubur Ayam Ketoprak,Rp12.000,Boeana Baking & Sembako,Tangerang,40+ terjual,5.0
Kerupuk Kering 250g Bahan Seblak Variasi Lengkap by GG,Rp5.999,gaiagarut,Kab. Garut,40+ terjual,5.0
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,seblak bandung99,Kab. Bandung,2rb+ terjual,4.8
KERUPUK OREN 1KG TOPPING SEBLAK,Rp19.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,29 terjual,5.0
Seblak Instan Sehati,Rp13.000,Official Kartika Sari,Bandung,500+ terjual,5.0
Seblak Instan Kwetiaw,Rp13.500,RN FROZEN FOOD,Jakarta Selatan,8 terjual,5.0
[READY MEDAN] Kerupuk Bawang Bantet Seblak Pedas Jeruk Murah 100grm,Rp8.000,CemilanPuas,Medan,250+ terjual,4.9
kerupuk seblak mentah orange 250gr,Rp11.500,BuyungBumbu,Jakarta Pusat,60+ terjual,
Kylafood Seblak Mie Baso Sapi Play,Rp21.450,kylafood,Bandung,250+ terjual,4.9
KERUPUK SEBLAK KERING BANTAT RAFAEL PEDES DAUN JERUK 250 GRAM ,Rp19.000,Madinah Oleh Oleh Bdg,Bandung,16 terjual,4.8
pilus cikur / pilus seblak baso aci - 250gram,Rp12.000,yumnaa snack,Kab. Bekasi,30+ terjual,4.8
Cuanki Pangsit kering Segitiga Cipet isi 40 toping seblak baso aci,Rp13.500,CuankiCulametan,Kab. Garut,250+ terjual,5.0
Kerupuk Seblak Pedas / Kerupuk Seblak Merah,Rp18.000,Snackzone PP,Jakarta Pusat,21 terjual,4.0
Seblak Seafood Instan,Rp7.500,Cemilan Malang,Malang,14 terjual,5.0
[TERMURAH] (COD) 1kg Krupuk Seblak Bantet Kering/ Kripik Seblak Pedas,Rp47.000,Arkadewi11,Jakarta Selatan,2 terjual,5.0
Paket 7 Pcs Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp120.000,Central Seblak Nusantara,Tangerang Selatan,16 terjual,4.9
Kerupuk Krupuk Seblak Merah Kering Pedas Oleh Oleh Bandung Odjolali,Rp10.500,Storio Store,Tangerang Selatan,19 terjual,4.7
Kerupuk Mentah Mawar Putih Seblak Viral Bawang 1 Bal 5 Kg,Rp95.000,BuddhiSMART,Tangerang,2 terjual,5.0
Bundle 10pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan Ready,Rp165.500,Rak Sebelah,Jakarta Pusat,,
Kylafood Mie Tulang Rawan Play,Rp19.890,kylafood,Bandung,250+ terjual,4.9
seblak instan mie original om brewok,Rp14.000,Muysproduct,Kab. Bogor,5 terjual,5.0
Cimol Spicy Lava Kylafood,Rp22.230,kylafood,Bandung,750+ terjual,4.9
seblak instan mie toppoki om brewok,Rp16.000,Muysproduct,Kab. Bogor,,
Cimol Spicy Lava Kylafood,Rp22.230,kylafood,Bandung,750+ terjual,4.9
Kylafood Mix Batagor Kuah dan Mie Kocok,Rp43.450,kylafood,Bandung,17 terjual,5.0
CUANKI INSTAN BANDUNG,Rp4.500,jajanangarut19,Jakarta Selatan,3rb+ terjual,4.8
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,Rp38.999,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
Sami Raos Cuanki Geprek Instan,Rp18.270,Foodstocks,Jakarta Selatan,40+ terjual,4.8
Kerupuk Seblak Kering Pedas Daun jeruk,Rp12.500,BELFASHOP,Surabaya,30+ terjual,4.5
kerupuk bawang mentah warna merah -+5kg untuk seblak wajib grab/ gojek,Rp68.500,olshoppwgi,Tangerang Selatan,11 terjual,5.0
SEBLAK INSTAN MANG MUSS,Rp12.500,Seblak Mang Muss,Tasikmalaya,500+ terjual,4.9
Kerupuk Seblak/Nasgor Mentah 250gr,Rp10.000,IKAN SEGAR CAK ADNAN,Jakarta Selatan,7 terjual,5.0
kerupuk seblak,Rp10.000,fey snack,Depok,100+ terjual,4.9
"seblak coin mekar 1,5kg",Rp60.000,Toko Yazid Cita Rasa,Bandung,4 terjual,5.0
CUANKIE JUARA! CUANKIE JAJANAN KULINER ENAK KHAS BANDUNG VARIAN RASA - 6 Ayam Bwg (AB),Rp115.000,Rasa Juara Indonesia,Kab. Bandung,750+ terjual,4.9
siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,Rp25.000,CuankiCulametan,Kab. Garut,100+ terjual,4.9
kerupuk seblak gangkampung - 250gr,Rp7.000,cemilanindonesia22,Kab. Garut,,
cuanki tahu pasung murah isi 10 pcs toping seblak boci mie bakso,Rp3.500,CuankiCulametan,Kab. Garut,40+ terjual,4.9
Kerupuk Seblak Berkualitas 250Gr,Rp12.000,IKAN LAUT SEGAR CAK ALFATH,Jakarta Selatan,6 terjual,5.0
Kerupuk seblak merah,Rp18.000,Snackzone KK,Jakarta Selatan,28 terjual,4.9
Seblak Kering Gurih 65gram,Rp10.965,Lidigeli,Kab. Garut,100+ terjual,5.0
seblak frozen instan seblak rafael,Rp8.000,Kunyahhfood,Kab. Bogor,50+ terjual,5.0
"baso aci, bakso aci, cuanki, seblak instan, boci",Rp8.000,baso aci masabi,Jakarta Selatan,2rb+ terjual,4.8
Seblak Kuah Instant Terciduk Khas Bandung Extra Mie Telur Best Seller,Rp18.700,Gerai Snack Official Shop,Kab. Tangerang,60+ terjual,4.5
seblak kering bantat kerupuk bawang Ekstra pedas daun jeruk( 1 KG),Rp19.000,ngemil sipedas,Kab.Ciamis,11 terjual,5.0
Kerupuk Seblak Mentah Berkualitas - 250 Gram,Rp10.000,JURAGAN IKAN LAUT,Jakarta Selatan,11 terjual,5.0
Makaroni Seblak Basreng Keripik Kaca Capsule Pedas Kelanting Kurma,Rp20.000,kemplang Ango,Kab. Bekasi,17 terjual,4.8
SEBLAK INSTAN ORI/SEBLAK INSTAN KERUPUK/SEBLAK INSTAN MURAH,Rp3.899,dakar_ofc,Kab. Mojokerto,250+ terjual,4.2
boci cuanki gangkampung 10pcs,Rp42.000,cemilanindonesia22,Kab. Garut,,
Siomay mini 250 gram gurilem murah toping seblak boci,Rp8.000,CuankiCulametan,Kab. Garut,100+ terjual,4.9
SEBLAK KICIMPRING MANG MUSS,Rp9.999,Seblak Mang Muss,Tasikmalaya,750+ terjual,4.8
cuanki siomay mini gurilem 1 ons toping seblak baso aci,Rp3.000,CuankiCulametan,Kab. Garut,60+ terjual,4.9
krupuk seblak mini pedas  250gram,Rp13.500,Vinsnack,Tangerang,3 terjual,5.0
PAKET KOMPLIT BUMBU BASO ACI/BOCI/CUANKI/SEBLAK ECERAN,Rp1.200,ArfaOnlineShop,Tangerang,250+ terjual,5.0
Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah Siomay dan Baso T,Rp77.280,Onesupp Acc,Jakarta Barat,6 terjual,5.0
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,Rp60.000,Lidigeli,Kab. Garut,24 terjual,4.2
Kerupuk Seblak Kering Sebring Pedas Daun Jeruk 100gr,Rp4.500,Pedas Gilaa,Surabaya,500+ terjual,4.9
CUANKI/CUANKIE SIOMAY SPECIAL MURAH ASLI GARUT ISI 100 PCS BOCI&SEBLAK,Rp35.999,ArfaOnlineShop,Tangerang,10 terjual,5.0
Kerupuk Seblak | Cemilan Pedas | Cemilan Kering 150gr,Rp9.256,vieka mart official,Tangerang Selatan,30+ terjual,4.9
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",Rp42.500,gaiagarut,Kab. Garut,250+ terjual,4.8
Kerupuk Seblak Rafael Mawar Putih Pedas,Rp8.355,oke snack,Jakarta Selatan,80+ terjual,4.9
Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp26.000,Snackzone KK,Jakarta Selatan,8 terjual,5.0
(HARGA TERMURAH) seblak instan mantap,Rp3.900,baso aci zahra,Kab. Bandung,1rb+ terjual,4.7
kerupuk seblak viral ,Rp8.000,Pawon Brebes,Depok,,
Kerupuk seblak - cemilan murah kaleastores,Rp13.500,kaleastores,Kab. Banyuwangi,,
SHAZA BASO ACI CUANKI / BOCI CUANKI,Rp15.500,Bentang Frozen,Tangerang Selatan,100+ terjual,4.9
Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,Rp32.500,CuankiCulametan,Kab. Garut,100+ terjual,4.9
Batagor,Rp45.000,UMMU GENDIS FOOD,Depok,24 terjual,5.0
GURILEM 250GR TOPPING BASO ACI / SEBLAK,Rp11.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,20 terjual,4.8
Seblak Uleg || Viral,Rp8.000,RN FROZEN FOOD,Jakarta Selatan,11 terjual,
Kerupuk Jablay BANTET 1 KG |Krupuk Jablay Seblak Kencur 1KG 1000g 1000,Rp35.000,Toko 21 Cempaka Baru,Jakarta Pusat,40+ terjual,4.9
Kerupuk Orange / Kerupuk Seblak 250gr / Kerupuk Mentah - BawangBagus,Rp7.500,BawangBagus,Tangerang,6 terjual,
Cuanki tahu Gepeng Geprek isi 100 pcs toping seblak baso Aci baso,Rp35.000,Distributor Cuanki dan Seblak,Kab. Bekasi,50+ terjual,4.9
bumbu seblak basah instan,Rp26.666,Kickball Official,Bandung,250+ terjual,4.7
Seblak Instan,Rp20.500,dmpOLSHOP,Kab. Bekasi,21 terjual,5.0
Seblak Basah Instan Good Friend (90gr),Rp15.700,Gerai Snack Official Shop,Kab. Tangerang,40+ terjual,5.0
KERUPUK SEBRING 500 GRAM / KERUPUK SEBLAK MAWAR,Rp22.000,Dapur Sehat21,Kab. Bandung,5 terjual,5.0
Kyla Food Seblak Original,Rp21.500,fasyaa_id,Bandung,40+ terjual,5.0
SEBLAK INSTAN SEHAT NON MSG,Rp6.000,newtopik,Bandung,100+ terjual,4.8
kerupuk bawang mentah/kerupuk seblak/kerupuk warna warni 1kg,Rp37.000,tukangsayurjkt,Jakarta Selatan,30+ terjual,5.0
cemilan SEBLAK KARI PEDAS 65gr,Rp4.500,oke snack,Jakarta Selatan,100+ terjual,4.8
Kerupuk Putih 250 gr Krupuk Sumbersari Kurupuk Sumber Sari Seblak,Rp6.500,Celikafood,Bandung,60+ terjual,4.7
Seblak Instant Nagih | Seblak + Baso Aci Jajanan Milenial,Rp10.296,vieka mart official,Tangerang Selatan,15 terjual,4.3
kerupuk seblak kencur pedas 100 gram,Rp5.000,keripikususkrisis,Kab. Gresik,50+ terjual,4.9
cimol seblak pedas 200gr,Rp10.000,Akun_Kuliner,Tangerang Selatan,15 terjual,5.0
Kerupuk Seblak Kering Bantet Pedas Gurih Keripik Kering Renyah Halal,Rp19.970,Rendang Den Lapeh,Depok,18 terjual,4.8
seblak geprek,Rp18.500,Jajanan Hits (JS),Tangerang Selatan,9 terjual,5.0
Kerupuk Seblak,Rp17.000,Menu Ama,Tangerang Selatan,100+ terjual,4.9
