nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk
kerupuk oren/kerupuk seblak/kerupuk ikan tenggiri oren 1 kg,Rp17.000,kurniamakmur75,Depok,30+ terjual,4.8
Cemilan Kerupuk Seblak Pedas Cemilan Imon 100Gr,Rp15.000,Moenero,Kab. Tangerang,13 terjual,5.0
sebring seblak kering bumbu kacang cikruh 1kg,Rp15.000,Baso Aci Athaya,Kab. Bandung,15 terjual,4.3
krupuk seblak pedas daun jeruk bantet 500geram,Rp24.000,seblak barokah 07,Kab. Bandung,100+ terjual,4.7
Kylafood Seblak Mie Baso,Rp21.450,kylafood,Bandung,4rb+ terjual,4.9
YIMS seblak instant box termurah teh kerupuk seblak pedas khas garut,Rp8.500,Yimshop,Semarang,70+ terjual,4.6
KERUPUK SEBLAK PEDAS 200g,Rp12.000,hilmandza,Kab. Tangerang,30+ terjual,5.0
50 SIOMAY Cuanki Kering bahan Pelengkap Boci seblak dan cuanki,Rp17.999,lahawelah,Kab. Garut,250+ terjual,4.9
"baso aci masabi ( boci, tulang rangu, cuanki, seblak, bapper)",Rp7.500,jajanan masabi,Jakarta Selatan,50+ terjual,5.0
- Seblak Rafael Asli Original | Seblak Coet Mamang Rafael #,Rp37.000,joniludiansyah,Bandung,3 terjual,5.0
Sami Raos Baso MIE SEBLAK Geprek Khas Garut 135 Gram,Rp16.500,Alanza Frozen Food,Tangerang Selatan,16 terjual,5.0
SEBLAK KENCUR 75 gram,Rp7.000,Vavivo Tart & Cake,Kab. Bogor,13 terjual,5.0
Bumbu Seblak Samara Micron,Rp12.000,Sosis Paskali Official,Bandung,100+ terjual,5.0
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,Seblak putra bandung,Kab. Bandung,250+ terjual,4.8
Kerupuk Mawar Putih Bulat Mentah / Bahan Seblak 1kg Gurih dan Enak,Rp11.000,De Kriuk,Kab. Brebes,10 terjual,5.0
Paket 7 Pcs Batagor Kuah Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp120.000,Central Seblak Nusantara,Tangerang Selatan,11 terjual,4.8
"basreng gangkampung - 250gr, Asin",Rp12.000,cemilanindonesia22,Kab. Garut,,
Basreng Pedas Cikruh Seblak Bantet Cikruh Daun Jeruk Kemasan Ekonomis,Rp3.000,Bang Bana,Kab. Malang,500+ terjual,4.9
Maicih Seblak Keju,Rp19.900,Gerai Snack Official Shop,Kab. Tangerang,500+ terjual,4.7
Cirambay Terciduk/Aci Rambay Pedas Bumbu Cikruh Bisa Goreng Atau Kuah,Rp18.700,Gerai Snack Official Shop,Kab. Tangerang,100+ terjual,4.7
Baso Aci Mie Nyemek Teh Shanty Original Lengkap Dengan Gurilem 200g,Rp22.900,Gerai Snack Official Shop,Kab. Tangerang,100+ terjual,5.0
KERUPUK SNACK SEBLAK ADA 5 VARIAN LEVEL,Rp12.500,BoboShop805,Jakarta Utara,6 terjual,5.0
Seblak instan cuanki/Seblak instan murah/Seblak instan mie,Rp4.900,Komasnack,Kab. Mojokerto,10 terjual,5.0
Kerupuk Bawang Mentah Bintang Warna Warni 250gr/Kerupuk Seblak,Rp6.500,Sin Nana,Semarang,,
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Daun Jeruk 65 gr,Rp12.500,Lidigeli,Kab. Garut,40+ terjual,4.5
kerupuk seblak mawar pedas daun jeruk,Rp7.999,uus shop 02,Surabaya,40+ terjual,4.8
KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,Rp22.999,Agen Snack Murah,Jakarta Barat,50+ terjual,4.9
Seblak Kencur 250gr/Kerupuk Seblak Rasa Kencur/Snack Cemilan,Rp11.600,Agen Snack Murah,Jakarta Barat,100+ terjual,5.0
Seblak Koin,Rp17.500,Official Kartika Sari,Bandung,500+ terjual,5.0
Seblak makroni pedas gurih ekstra daun jeruk 100 gram,Rp5.000,Seblak putra bandung,Kab. Bandung,100+ terjual,4.8
SEBLAK KERIPIK BETON 1KG CIKRUH / SEBRING KERUPUK BETON 1KG CIKRUH,Rp43.750,ICIP ICIP SNACK BANDUNG,Kab. Bandung,4 terjual,5.0
100gr Kerupuk Bawang Tersanjung Bintang Bunga Krupuk Mentah seblak,Rp4.400,Eagar Wangsa,Jakarta Utara,250+ terjual,4.8
cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,Rp12.000,CuankiCulametan,Kab. Garut,250+ terjual,4.9
Seblak Basranger,Rp14.500,Khayla BeautyShop,Kab. Bekasi,9 terjual,5.0
Oifyoo Seblak Mozarella,Rp22.000,Clower Mart,Jakarta Barat,23 terjual,4.8
SEBLAK SOACI / SEBLAK BASO ACI SOACI,Rp16.850,TOBELO SHOP,Tangerang,100+ terjual,5.0
Kerupuk Seblak Bantet Kencur Extra Pedas,Rp12.500,EMPING MELINJO ASLI LIMPUNG KIRANI SNACK,Kab. Batang,30+ terjual,4.9
Siomay Cuankie Kering Cuangki Baso Bakso Aci Seblak,Rp8.000,Celikafood,Bandung,60+ terjual,4.9
Seblak Mercon Komplit Khas Tasik 150gr,Rp9.500,Al Dien Mart,Tangerang,21 terjual,4.6
Seblak Instant Pedas Cadas Mantab,Rp14.000,Bianzi Food,Jakarta Selatan,50+ terjual,5.0
"MI MIE LIDI YOI DAUN JERUK , SEBLAK , PEDAS LV5 ORIGINAL,CEMILAN HITS",Rp5.500,WA SPAREPART,Bekasi,28 terjual,5.0
Bumbu Seblak Cikur Bawang Putih Untuk Seblak (Plain),Rp400,Berkah Food Bandung,Cimahi,750+ terjual,4.9
seblak instant khas bandung,Rp62.000,Seblak Alipbata,Tangerang,100+ terjual,4.8
Seblak Instan BABA Semua Variant (3pcs),Rp50.000,Basrengbaba,Kab. Bandung,19 terjual,4.8
Cuanki Tahu Keriting Panjang Topping Baso Aci / Seblak Khas Garut,Rp14.999,Pedas Gilaa,Surabaya,100+ terjual,5.0
Seblak Mercon Khas Tasik 150gr Pedas Jelotot,Rp11.000,Al Dien Store 313,Tangerang,50+ terjual,4.8
KERUPUK TANGGA / TARAJE 1KG TOPPING SEBLAK,Rp22.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,11 terjual,5.0
seblak instan purwakarta,Rp4.500,cemilan instan purwakarta,Kab. Purwakarta,750+ terjual,4.9
Kerupuk Seblak Kering Pedas Aroma Daun Jeruk Murah Enak Terlaris 250 g,Rp15.999,Kunyahhfood,Kab. Bogor,16 terjual,5.0
PAKET BUNDLING HEMAT 12  (6 pcs seblak 6pcs baso aci ) MAKANAN INSTAN ,Rp44.999,gudangsnacktgr19,Kab. Tangerang,5 terjual,4.3
Kerupuk Seblak Nuri,Rp93.100,mitra jaya sembako,Tangerang,16 terjual,
Krupuk Seblak Coin 1 bal,Rp55.000,Hosana Snack,Bogor,27 terjual,5.0
Snack Seblak jeletot 150 gr,Rp14.000,Asinan Maputri,Tangerang,12 terjual,4.9
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),Rp23.999,Mama Fuji Official,Tangerang,20 terjual,4.8
Kerupuk seblak pedas,Rp15.900,Tukangsayurmbakyu,Tangerang Selatan,60+ terjual,4.6
KRUPUK JABLAY PEDAS 220GR/KRUPUK SEBLAK/CEMILAN SNACK/SNACK KILOAN.,Rp11.000,Agen Snack Murah,Jakarta Barat,30+ terjual,4.9
"PAKET JUNI ASIK SEBLAK BESTSELLER(Seblak Original,Seblak Tulang Rawan)",Rp34.500,kylafood,Bandung,80+ terjual,4.8
Seblak Keju,Rp15.000,Maicih_Official,Bandung,250+ terjual,4.9
"TERBARU MIX 4 BASO ACI, 4 SEBLAK, 4 CUANKI INSTAN ABAH ACENG",Rp57.000,Richyy_mart,Jakarta Barat,1 terjual,
Kerupuk jengkol dan seblak beton (satu paket) rasa pedas kemasan 250 g,Rp15.500,Seblak Guludug Bandung,Kab. Bandung,4 terjual,
[PROMO!!] BASRANGER Seblak Instant EXTRA PEDAS 200gr - seblak nikmat,Rp15.999,JM Snacks,Bandung,100+ terjual,4.9
Paket seblak bakso untuk 3 porsi,Rp29.000,Tukangsayurmbakyu,Tangerang Selatan,30+ terjual,5.0
Kerupuk Seblak Kering Pedas Bumbu Kencur 100 gram,Rp6.750,Zahira Official 01,Kab. Kebumen,30+ terjual,5.0
"Bumbu asin gurih extra rempah 1 kg. Untuk kuah baso aci,seblak dll",Rp47.999,aghniya,Tangerang Selatan,500+ terjual,4.8
kerupuk seblak kencur pedas,Rp25.000,bangkit jaya snack,Bekasi,70+ terjual,4.9
seblak crispy,Rp13.000,HaRoZaDaZaSa store,Depok,40+ terjual,4.4
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,Rp11.000,Distributor-Jaya,Tangerang,100+ terjual,4.9
Seblak Geprek,Rp19.000,kappa center,Tangerang,20 terjual,5.0
Nyemil Saji - Seblak Instan Siap Saji,Rp16.365,Nyemil Saji Jepara,Kab. Sleman,23 terjual,4.9
SEBLOK / SEBLAK CILOK RANGU NYAKREK,Rp6.800,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250+ terjual,4.8
Kerupuk seblak 100 gram Pedas gurih,Rp8.000,RIKI STORE 97,Kab. Bogor,6 terjual,5.0
Kerupuk Keong Warna Warni 250gr Krupuk Seblak Mentah,Rp6.000,Celikafood,Bandung,40+ terjual,5.0
Kerupuk Seblak Bantet 100 gram-Tantaz Snack,Rp7.500,tantaz_Snack,Tangerang Selatan,60+ terjual,5.0
Bundling 3 - Seblak Bapper - Seblak Basranger - Seblak Terciduk,Rp51.900,Gerai Snack Official Shop,Kab. Tangerang,9 terjual,
KERUPUK SEBLAK VIRAL RAFAEL ,Rp5.500,D'gegaresan,Jakarta Utara,100+ terjual,4.3
seblak kering / seblak kerupuk krupuk putih bawang pedas / murah enak,Rp7.000,Jagoicip,Jakarta Pusat,7 terjual,5.0
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,Rp28.500,Pasar Keripik Bandung,Bandung,14 terjual,5.0
kerupuk mentah seblak,Rp65.000,DINAYASHOP,Jakarta Barat,20 terjual,4.0
Kerupuk Sari  Udang Mentah 250gr/Kerupuk Seblak,Rp6.500,Sin Nana,Semarang,6 terjual,5.0
Kerupuk bawang prima / Kerupuk warna warni / Kerupuk seblak - 500 Gram,Rp12.000,Roda Minang,Jakarta Barat,30+ terjual,4.9
Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 gram,Rp4.000,DelimaFCB,Surabaya,16 terjual,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Kylafood Seblak Original Play,Rp15.050,kylafood,Bandung,1rb+ terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp11.500,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
kerupuk seblak pedas 1/2 kg / kerupuk seblak ½,Rp20.482,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
"PAKET MIX Cuanki Instan Super Lengkap, Seblak Instan 9 Bungkus",Rp41.000,Endo Shop ID,Kab. Garut,,
Seblak Instan RC Karawang | Seblak Instan Prasmanan Oleh-Oleh Karawang,Rp15.500,TOKO KAMI789,Kab. Karawang,,
siomay mini kering 250 gram toping seblak baso aci,Rp8.000,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.8
BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,Rp1.500,yohangunawan94,Bandung,100+ terjual,5.0
"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,60+ terjual,5.0
Seblak Instan,Rp8.000,ROEMAH MOSLEM,Kab. Boyolali,40+ terjual,5.0
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp22.500,Lidigeli,Kab. Garut,40+ terjual,5.0
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,Rp10.000,TOKO KUE MEISYA,Jakarta Pusat,100+ terjual,4.9
KERUPUK BAWANG WARNA MERAH KRUPUK SEBLAK MENTAH - 500 gram,Rp11.500,BociKakang,Jakarta Selatan,90+ terjual,5.0
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
Baso Aci GEPREK Seblak GEPREK boci instant samiraos boci geprek tulang,Rp15.300,Pusat Baso Aci,Surabaya,40+ terjual,4.8
kerupuk oren/kerupuk seblak oren/kerupuk ikan tenggiri oren 500 gr,Rp8.900,kurniamakmur75,Depok,15 terjual,5.0
cuanki lidah 150 pcs toping seblak baso aci,Rp35.000,CUANKI CULAMETAN,Kab. Garut,250+ terjual,5.0
kerupuk seblak bantet/sebring setengah kg,Rp24.500,arsensnack,Kab. Bekasi,14 terjual,4.9
KERUPUK SEBLAK KERITING CABE MERAH SUPER PEDES 250 GRAM,Rp18.000,Madinah Oleh Oleh Bdg,Bandung,100+ terjual,4.9
Batagor Kering Panjang 1 Pack Cocok buat Seblak SAYUR ONLINE BANDUNG,Rp16.000,Sayur Gedebage Praktis Online Bandung,Bandung,4 terjual,5.0
KERUPUK SEBLAK KENCUR PEDAS 1KG/SNACK KILOAN,Rp41.000,ajs(ale jaya snack),Jakarta Utara,2 terjual,5.0
Seblak Instant Mommy,Rp12.200,Jacqkids,Bandung,500+ terjual,4.8
Paket seblak sosis untuk 3 porsi,Rp29.000,Tukangsayurmbakyu,Tangerang Selatan,8 terjual,5.0
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,Rp35.000,Lidigeli,Kab. Garut,100+ terjual,4.9
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Mawar Warna,Rp23.500,BociKakang,Jakarta Selatan,250+ terjual,5.0
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,Rp19.050,dariimyu,Kab. Indramayu,100+ terjual,5.0
Kylafood Seblak Rempah Autentik,Rp10.000,Kylafood Jakarta,Jakarta Selatan,90+ terjual,5.0
KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET 500 GRAM,Rp32.100,TOKO KUE MEISYA,Jakarta Pusat,40+ terjual,5.0
SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,Rp17.850,TOBELO SHOP,Tangerang,100+ terjual,4.8
PANGSIT SEBLAK BUMBU BASAH,Rp8.500,RIKI STORE 97,Kab. Bogor,9 terjual,5.0
Seblak kering seblak kemplang 500 gram,Rp23.000,RIKI STORE 97,Kab. Bogor,6 terjual,
Kerupuk Seblak Kering Mawar (Rafael) Pedas Daun Jeruk 1 Kg,Rp49.000,SekawanRasa,Surabaya,1 terjual,5.0
seblak basah instant ekonomis,Rp5.000,Kickball Official,Bandung,100+ terjual,4.6
Seblak Stik 250gram,Rp10.000,Hosana Snack,Bogor,250+ terjual,4.9
kerupuk seblak bantet kering 1kg (matang),Rp46.000,arsensnack,Kab. Bekasi,6 terjual,5.0
kerupuk seblak pedas daun jeruk,Rp9.900,afif jaya cemilan,Surabaya,100+ terjual,4.6
KERUPUK SEBLAK KENCUR PEDAS 1kG,Rp45.000,AQILA FROZEN FOOD JAKARTA,Jakarta Selatan,40+ terjual,
kerupuk seblak rafael 500gram,Rp13.800,arzy sembako,Kab. Bogor,40+ terjual,5.0
Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,Rp6.800,Djuragan Kerupuk,Surabaya,90+ terjual,5.0
Seblak Sultan instant,Rp14.000,Sultan Meat Shop,Medan,250+ terjual,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK / KRUPUK SEBLAK KERING / SEBLAK PEDES,Rp25.000,Innes Oleh Oleh,Jakarta Barat,2 terjual,
kerupuk seblak pedas 1 kg / kerupuk seblak,Rp35.625,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
PAKET BUNDLING HEMAT 12  (6 pcs seblak 6pcs baso aci ) MAKANAN INSTAN ,Rp44.999,gudangsnacktgr19,Kab. Tangerang,5 terjual,4.3
Boboko Kerupuk Seblak Kering Pedas Daun Jeruk Level 7 / 8 /9 / 13,Rp18.000,Dewi_Sartika,Jakarta Barat,9 terjual,5.0
Kerupuk Kriwil Seblak Cikur (net 200g),Rp9.000,Van Kios,Bandung,14 terjual,5.0
seblak pedas kerupuk,Rp82.000,ViSha_Olshop,Bekasi,60+ terjual,4.9
Kerupuk Seblak/Ikan/Sari Udang/Merah - MENTAH,Rp25.000,sembakocitra,Tangerang,22 terjual,5.0
Seblak basreng pedas original daun jeruk stik 100gr,Rp5.000,Seblak putra bandung,Kab. Bandung,4rb+ terjual,4.8
siomay mini kering 1kg toping seblak baso aci,Rp25.000,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
Kerupuk Seblak Kering Bumbu Pedas CIkruh Daun Jeruk Box | Snack Teman,Rp17.500,Snack Teman,Bandung,30+ terjual,4.9
KRUPUK SEBLAK KENCUR 500 gram,Rp28.000,Vavivo Tart & Cake,Kab. Bogor,9 terjual,5.0
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg BAWANG,Rp18.000,SuperSnacksShop,Kab. Bandung,70+ terjual,4.9
Cabe bubuk special baso aci & seblak,Rp11.999,aghniya,Tangerang Selatan,250+ terjual,4.9
SEBLAK INSTAN,Rp5.000,Griyo Seni,Kab. Sidoarjo,90+ terjual,4.6
Kerupuk Ikan Merah Mentah / Kerupuk Seblak 250gr,Rp9.500,Hello Cell & Distro,Bandung,7 terjual,5.0
kerupuk seblak pedas 1 kg TERMURAH,Rp38.000,RIKI STORE 97,Kab. Bogor,3 terjual,5.0
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr MAWAR WARNA,Rp5.000,SuperSnacksShop,Kab. Bandung,100+ terjual,4.9
Seblak Mommy Instan Rasa Original Kemasan Cup,Rp11.550,Beuki Mart,Bandung,14 terjual,5.0
Krupuk Stik Seblak /pedas 1kg,Rp36.000,Hosana Snack,Bogor,40+ terjual,4.9
Seblak Mooza,Rp22.000,oifyoo_jakut,Jakarta Utara,12 terjual,4.7
siomay kering mini untuk baso aci & seblak bandung,Rp14.999,aghniya,Tangerang Selatan,250+ terjual,4.9
baso aci / seblak instan,Rp6.000,Nyum_mama,Pekanbaru,30+ terjual,4.5
SEBLAK VIRAL - SEBLAK INSTANT - SEBLAK RAFAEL - SEBLAK MAMANG RAFAEL,Rp8.880,FARADHIFY STORE,Bekasi,100+ terjual,4.6
Kerupuk seblak jengkol extra pedas 1kg krupuk jengkol pedas murah,Rp15.000,zhafran_id,Kab.Ciamis,30+ terjual,4.3
CUANKIE TAHU STICK / TAHU KERITING ISI 50 TOPPING BASO ACI / SEBLAK,Rp18.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,19 terjual,4.5
Kerupuk Mawar Seblak Cocol (100gr)/Seblak Rafael Kerupuk Mawar Mentah,Rp4.990,Toko Ritel Indonesia,Sukabumi,100+ terjual,4.9
cabe rawit bubuk sachet seblak baso aci cuanki instant,Rp350,CUANKI CULAMETAN,Kab. Garut,2rb+ terjual,4.8
Seblak Ceker pedas daun jeruk 250 gram,Rp13.000,Markas Makaroni,Kab. Bekasi,60+ terjual,4.9
ANTAKA 100gr Bumbu Tabur Aneka Rasa Bumbu Seblak Makaroni,Rp5.999,yohangunawan94,Bandung,750+ terjual,5.0
BARU! KERUPUK SEBLAK - TERMURAH [100gram],Rp7.500,Aflah Snack,Bekasi,100+ terjual,4.7
BOCI BASO ACI MACI AYAM MERCON TULANG RANGU XTRA PEDAS | SEBLAK BASO A,Rp8.299,snackbox88,Bekasi,50+ terjual,
Kerupuk Seblak Mawar Kriwil Pedas 60gr ANABA,Rp2.881,Siaga Lapak,Malang,16 terjual,5.0
keripik seblak rafael pedas & asin,Rp16.500,keyz shop78,Bandung,5 terjual,5.0
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,Rp22.000,Rasa Juara Indonesia,Kab. Bandung,1rb+ terjual,4.9
seblak kering bumbu kacang(100gr),Rp4.999,seblak_joy,Kab. Bandung,20 terjual,5.0
Kerupuk Rafael/kerupuk seblak viral/kerupuk mawar 1kg,Rp33.000,KEDAI SAYUR KU,Tangerang Selatan,30+ terjual,4.9
Krupuk Seblak Kencur Seblak Jablay 250gr,Rp12.500,Mokosnacksby,Surabaya,250+ terjual,4.9
Seblak kerupuk bintang pedas ekstra daun jeruk 100 gram,Rp5.000,Seblak putra bandung,Kab. Bandung,60+ terjual,4.9
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,BociKakang,Jakarta Selatan,500+ terjual,4.8
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,50+ terjual,5.0
PAKET 11 PCS SEBLAK COET SAMBAL IJO TATANGGA Food Rawit,Rp44.999,gudangsnacktgr19,Kab. Tangerang,,
seblak kencur / okesnack,Rp10.000,oke snack,Jakarta Selatan,750+ terjual,4.9
